Name,Surname,HasA,HasB,Class
Gianni,Vcqblumk,1,0,0
Carlo,Xvxjxpm,0,0,0
Pino,Hlgl,1,0,1
Gianni,Cqpco,0,1,0
Gianni,Ahlxrvs,1,0,0
Pino,Rzzhwi,0,0,1
Carlo,Mougrgfkz,1,0,0
Carlo,Nmjs,1,1,0
Carlo,Lgsip,1,0,0
Gianni,Uzfvacq,0,1,0
Gianni,Modit,0,1,0
Pino,Ojkhhmclg,0,0,1
Gianni,Eblq,1,1,0
Carlo,Ctqggqs,1,0,0
Gianni,Evbnvbt,0,1,0
Pino,Zchutoly,1,0,1
Pino,Zcssoacdht,1,0,1
Gianni,Siigmxije,1,0,0
Carlo,Alaoizns,0,0,0
Carlo,Voek,1,1,0
Pino,Hhda,0,0,1
Carlo,Jwullsczej,1,1,0
Gianni,Vprh,1,0,0
Carlo,Kfwoq,1,0,0
Carlo,Fhtahtbqn,1,0,0
Carlo,Hcyur,0,1,0
Carlo,Nlhgd,1,1,0
Gianni,Iqaoxd,1,0,0
Pino,Bkbghvg,1,0,1
Gianni,Bvrrijryqb,0,1,0
Carlo,Eslpclii,1,1,0
Gianni,Bmecv,1,1,0
Pino,Cyfclgk,0,0,1
Gianni,Xkiemshkl,0,1,0
Pino,Sxzzxfbeje,0,1,1
Gianni,Qzgvvt,0,0,0
Pino,Kwnbc,1,1,1
Gianni,Gmvu,0,0,0
Gianni,Ldzwzejpnu,0,1,0
Gianni,Tsyba,1,0,0
Carlo,Gphbnhvcac,1,0,0
Pino,Etjtqzal,1,0,1
Pino,Ehpfnmg,1,1,1
Carlo,Qtnchxaap,1,1,0
Gianni,Tkfosckywk,0,1,0
Carlo,Krqafykp,1,0,0
Gianni,Bdznmeaxza,0,1,0
Pino,Ksscbvljt,0,1,1
Carlo,Oucxfwgvnk,0,0,0
Pino,Dqvxsio,0,1,1
Carlo,Ubnblhkpot,0,1,0
Gianni,Zvhjjtkmnr,1,0,0
Pino,Mjzccan,1,0,1
Gianni,Igfjzqv,1,1,0
Gianni,Fibpvmkk,1,1,0
Carlo,Eceqf,0,0,0
Carlo,Njcd,0,1,0
Carlo,Ejchxafkff,1,1,0
Gianni,Ztvotyq,1,1,0
Carlo,Qlrbh,1,1,0
Pino,Dgksj,1,0,1
Gianni,Roklxob,1,1,0
Pino,Hurdn,1,0,1
Pino,Syrbcyc,1,1,1
Pino,Jvxjx,1,0,1
Gianni,Dnhcyerb,0,0,0
Pino,Rvmhf,1,0,1
Pino,Mhkf,0,1,1
Carlo,Szrpbp,1,0,0
Carlo,Bvzhyiz,0,1,0
Carlo,Iaewp,0,0,0
Pino,Fnrzllq,0,0,1
Gianni,Ilksktkbxp,1,1,0
Pino,Hewzdxyk,1,0,1
Pino,Esfvie,1,1,1
Gianni,Fvxkp,0,0,0
Gianni,Rmtb,0,1,0
Carlo,Xwyazoz,0,1,0
Carlo,Pvcuamv,0,1,0
Carlo,Gumc,0,1,0
Pino,Eunwcnunb,1,0,1
Carlo,Selelevlwp,1,1,0
Carlo,Dkpfngp,1,0,0
Gianni,Tbyun,1,0,0
Carlo,Grpi,0,0,0
Carlo,Crjeizoad,0,0,0
Pino,Selu,0,0,1
Carlo,Uexpdka,1,1,0
Gianni,Nkni,1,1,0
Pino,Zjzkkkc,0,0,1
Gianni,Gbrjecryal,0,1,0
Pino,Lghaartoi,0,1,1
Pino,Rjyix,1,1,1
Gianni,Xtnkowws,1,1,0
Pino,Iwtzr,0,0,1
Gianni,Mrseviz,1,0,0
Pino,Xhhky,1,0,1
Gianni,Vexs,1,1,0
Carlo,Ekiilz,0,0,0
Pino,Wyoaid,0,1,1
Pino,Mzreuqoms,0,0,1
Gianni,Opjazf,0,1,0
Carlo,Hkexin,1,0,0
Gianni,Fjwqihhshj,0,1,0
Pino,Kczuovdzd,1,1,1
Pino,Azpnddah,0,0,1
Gianni,Jhwv,1,0,0
Carlo,Zznoeymh,0,0,0
Pino,Hxktwcv,1,0,1
Gianni,Daxsguhgl,0,1,0
Pino,Qrdqefa,0,0,1
Carlo,Blpunmit,0,1,0
Pino,Stthkwj,1,1,1
Gianni,Zcqnrziysn,1,1,0
Gianni,Ruwfsmon,0,0,0
Gianni,Dmfjkerof,0,0,0
Pino,Ustck,0,1,1
Carlo,Lbfvkq,1,1,0
Gianni,Jlnzicjfe,0,1,0
Gianni,Jxrxda,0,0,0
Pino,Ivhpv,0,0,1
Carlo,Ijrzby,1,1,0
Gianni,Hnep,0,0,0
Pino,Slbnxcizp,0,1,1
Carlo,Hqxak,1,1,0
Carlo,Fptzt,1,1,0
Gianni,Opacdiz,0,1,0
Pino,Bvxqn,0,1,1
Carlo,Nhqefcgg,0,1,0
Gianni,Qaylmqrqk,0,0,0
Gianni,Lznpsbf,1,0,0
Gianni,Ksdbhdclg,0,0,0
Carlo,Cstpyhj,0,0,0
Carlo,Mouugabj,1,1,0
Gianni,Lhwbgecb,0,1,0
Gianni,Cghlwdmu,0,1,0
Carlo,Bfhmwpyp,1,1,0
Pino,Slaqex,1,1,1
Gianni,Xpdgiqnnxo,1,1,0
Gianni,Qofvue,1,1,0
Gianni,Wxpgsvve,1,1,0
Gianni,Qemliboywp,1,0,0
Gianni,Jikwnxou,1,1,0
Gianni,Gdaqhrforo,1,1,0
Gianni,Avyuwhg,0,0,0
Pino,Hootdhtg,1,0,1
Gianni,Igzos,0,0,0
Gianni,Otsfsuh,0,0,0
Gianni,Dwlczhdf,0,0,0
Gianni,Kgpr,0,0,0
Carlo,Jdlcs,0,1,0
Carlo,Krymoqr,1,1,0
Carlo,Ermjy,1,0,0
Pino,Maqhkxcpg,1,1,1
Pino,Eybcydhhtm,0,0,1
Gianni,Wjqj,0,0,0
Pino,Ybydxs,1,0,1
Gianni,Uhlts,0,0,0
Pino,Mqbi,1,1,1
Pino,Sftjruk,0,0,1
Pino,Occrsmjdw,0,1,1
Pino,Grkdxjdub,1,0,1
Pino,Fpzhh,0,0,1
Carlo,Utemsvj,0,0,0
Carlo,Lcvh,0,0,0
Gianni,Rejd,1,0,0
Gianni,Zqisbcgel,0,0,0
Pino,Qlnipuodh,1,0,1
Pino,Bvdeifihie,1,1,1
Pino,Gvrwfmxhy,1,1,1
Pino,Fmwd,0,0,1
Pino,Tbzrhvfdbr,1,0,1
Carlo,Mhulff,0,0,0
Gianni,Fjhyqq,0,1,0
Carlo,Neaegxq,0,1,0
Gianni,Ovrpzse,0,0,0
Pino,Lowxsh,1,0,1
Pino,Vjtsikqz,0,0,1
Carlo,Dmvl,0,0,0
Carlo,Onwsi,0,1,0
Gianni,Lzeldhlmu,1,0,0
Carlo,Ygwmspzy,1,0,0
Carlo,Rdxarmu,1,0,0
Carlo,Hquczowi,0,0,0
Pino,Fqsu,1,0,1
Pino,Zwoyq,0,1,1
Pino,Uffrx,1,1,1
Carlo,Qype,1,0,0
Carlo,Ojijpl,1,1,0
Carlo,Savqwbiqoo,1,0,0
Carlo,Imzklqjqe,0,0,0
Carlo,Fxdlzxcokd,1,0,0
Gianni,Zwwm,0,1,0
Carlo,Eagtjbfte,1,1,0
Carlo,Gxzrsnkl,0,1,0
Gianni,Hdtmemrlme,1,0,0
Pino,Ywrpvxltk,1,0,1
Pino,Ehvrqtzf,0,0,1
Carlo,Yzbtui,0,0,0
Carlo,Mknzbgiyy,1,0,0
Pino,Ianesyhz,1,1,1
Gianni,Gstwmlytjl,1,0,0
Gianni,Mxkvqem,1,0,0
Gianni,Zitxsl,1,0,0
Gianni,Evzmxin,1,1,0
Pino,Pipmrybfab,0,1,1
Carlo,Xknfctdjx,0,1,0
Pino,Dqfpyjkguj,0,0,1
Pino,Irtvhluxtb,1,0,1
Gianni,Nobjcept,1,1,0
Carlo,Idkghaiz,0,0,0
Carlo,Osot,1,1,0
Carlo,Vwdglpo,0,0,0
Gianni,Eevq,0,1,0
Gianni,Dbyggc,0,0,0
Carlo,Rdxoiizg,0,1,0
Gianni,Kamlp,0,1,0
Carlo,Zlbevr,0,0,0
Carlo,Dcjy,0,1,0
Carlo,Qebsst,1,0,0
Gianni,Lzksme,1,0,0
Carlo,Vvbbfhhu,0,0,0
Carlo,Wdylbtd,1,0,0
Carlo,Mzjzkzam,1,1,0
Carlo,Rdqaztx,1,1,0
Pino,Yjdbigck,0,1,1
Pino,Dktkmyzgke,1,0,1
Pino,Wgqsl,1,0,1
Pino,Spwjvnah,1,1,1
Gianni,Wplgw,0,1,0
Pino,Ekvdmnm,0,0,1
Pino,Mpnwxjrb,0,1,1
Pino,Ikdyrrifcv,1,1,1
Pino,Tqveej,1,1,1
Gianni,Qxpahmbf,0,0,0
Carlo,Fwlb,0,1,0
Pino,Jkuivtu,1,1,1
Gianni,Fgymtnbf,0,0,0
Pino,Ncdmio,0,1,1
Gianni,Kjayhm,0,1,0
Carlo,Rwejir,1,0,0
Gianni,Knay,0,0,0
Carlo,Ulxpzayf,0,1,0
Gianni,Gaikmo,0,0,0
Gianni,Jvlnwpbpc,0,1,0
Gianni,Yhtghs,0,0,0
Carlo,Wjntqnadh,0,1,0
Pino,Axxizch,1,1,1
Carlo,Jrbdhh,1,0,0
Gianni,Ukzja,0,0,0
Gianni,Yznxet,0,1,0
Gianni,Uvxxi,0,1,0
Gianni,Hctw,1,0,0
Carlo,Cvmnrwwuzn,0,0,0
Pino,Zrbggk,0,0,1
Pino,Rdmzthooee,0,0,1
Gianni,Grrfpaxdo,0,0,0
Gianni,Ijfs,1,1,0
Gianni,Iwcq,1,1,0
Gianni,Onwacwg,1,0,0
Pino,Cfrxofv,0,1,1
Pino,Hqyqkuoyp,1,0,1
Pino,Exqv,1,1,1
Gianni,Ulbddtj,0,1,0
Gianni,Sozizz,0,1,0
Carlo,Jtwcjnsgq,0,0,0
Carlo,Qzkkxoknv,1,1,0
Gianni,Lgxvvbyrn,0,0,0
Pino,Yjrzoytlar,1,1,1
Pino,Ozgvbqltue,0,1,1
Gianni,Posws,1,0,0
Pino,Yhardryse,0,1,1
Gianni,Eqbppamvff,1,1,0
Pino,Swgodhmc,1,1,1
Gianni,Qwwyoupyyh,0,0,0
Pino,Xfmgzqg,0,0,1
Pino,Ugyzwib,0,0,1
Gianni,Xeylbh,1,0,0
Gianni,Ypgxxzsvu,1,1,0
Gianni,Maiyuxotik,0,0,0
Carlo,Nujxiy,0,0,0
Carlo,Oool,1,0,0
Carlo,Jkdgptko,1,1,0
Carlo,Dqlij,0,1,0
Gianni,Fbqeusxczy,0,0,0
Carlo,Yozcpmhlyy,1,1,0
Gianni,Akac,0,0,0
Pino,Cycjgg,1,1,1
Pino,Cfwqcc,1,0,1
Carlo,Ttczb,1,0,0
Pino,Suecidvxk,0,1,1
Carlo,Nbkcjvt,1,1,0
Pino,Ajvsaepdct,1,0,1
Carlo,Jrqgy,1,1,0
Gianni,Ipde,1,1,0
Carlo,Pxzgtqxht,1,1,0
Carlo,Yktjfo,0,0,0
Carlo,Dkdudrzah,0,0,0
Gianni,Dstwfvu,1,0,0
Gianni,Xmuifzlsa,1,0,0
Pino,Nmcbijxls,0,0,1
Carlo,Pgandvcxu,1,0,0
Carlo,Bgtvahi,0,1,0
Pino,Vijgbfb,1,0,1
Pino,Icovtqhr,1,1,1
Carlo,Ohkvkim,1,0,0
Pino,Ipajsatw,1,1,1
Gianni,Fmkrpwhk,0,0,0
Pino,Vztm,0,1,1
Gianni,Qemgsprkci,0,1,0
Gianni,Ypkkp,0,0,0
Carlo,Fngxakcsyc,1,1,0
Carlo,Eladawgi,0,0,0
Gianni,Lxoshczg,1,1,0
Carlo,Pbqjj,1,1,0
Pino,Sdtbfcu,0,0,1
Carlo,Knvndgqm,1,1,0
Carlo,Xzmqrnhqz,0,0,0
Carlo,Ifayu,1,0,0
Pino,Evch,0,0,1
Pino,Nflxxdd,0,1,1
Pino,Dpgoe,1,1,1
Pino,Qcqmyzinvj,1,0,1
Carlo,Ymshm,1,0,0
Pino,Tadmxwmg,1,1,1
Pino,Wuircep,0,1,1
Carlo,Yrhrxjk,1,0,0
Gianni,Hzacwfe,0,0,0
Gianni,Eftj,1,1,0
Carlo,Jyknoer,0,1,0
Gianni,Ynxgcltvhs,0,0,0
Carlo,Fbfup,0,1,0
Gianni,Hpndqrbow,0,0,0
Gianni,Vddujtmlf,1,0,0
Pino,Kmtibscjlk,1,0,1
Pino,Xunfwxrd,1,0,1
Gianni,Ovhdha,1,0,0
Carlo,Lrwjfg,0,0,0
Pino,Zrxlfre,0,0,1
Gianni,Cilvnmsx,0,1,0
Pino,Ecgn,0,0,1
Carlo,Ntst,0,1,0
Pino,Wykyxsdpq,1,0,1
Pino,Pynraspwy,0,0,1
Pino,Jlzjjh,1,0,1
Pino,Mzpf,0,0,1
Gianni,Nwhooe,1,1,0
Carlo,Jxjo,1,0,0
Gianni,Xlwu,0,1,0
Gianni,Enrpfxyqtf,0,0,0
Gianni,Gghnejlha,0,0,0
Carlo,Assz,0,0,0
Gianni,Podopn,0,0,0
Gianni,Mxpquoxwc,1,0,0
Carlo,Uhcgwzmjw,0,0,0
Gianni,Qcfay,0,0,0
Gianni,Ysoeqmxk,1,0,0
Carlo,Vubtlkdp,1,0,0
Pino,Mmgsl,1,1,1
Gianni,Onqd,1,1,0
Pino,Howczffe,0,1,1
Gianni,Uflretmgv,1,1,0
Carlo,Oyypwtngk,1,0,0
Gianni,Zqgr,0,0,0
Pino,Cfdoww,1,0,1
Carlo,Zqrojj,0,0,0
Carlo,Cgkrwqghx,1,0,0
Gianni,Sozovonjzt,0,1,0
Carlo,Gugawuimw,0,0,0
Carlo,Zgmmf,0,0,0
Carlo,Eionvpu,0,0,0
Pino,Dqgbg,0,0,1
Carlo,Hjjl,0,1,0
Pino,Hmhbz,0,0,1
Gianni,Ushsumbkqd,0,0,0
Gianni,Divxoy,1,1,0
Pino,Hgpcnjr,1,1,1
Gianni,Kevv,0,0,0
Pino,Kxqlopg,0,0,1
Pino,Qkkngl,1,0,1
Gianni,Xdbnjofnbv,1,1,0
Pino,Pmub,1,0,1
Carlo,Qifjwlkfc,0,1,0
Pino,Ttcq,1,0,1
Gianni,Cchvwzdio,0,0,0
Gianni,Wpwl,1,1,0
Gianni,Wgapftko,1,0,0
Gianni,Kfnhyvdj,1,1,0
Carlo,Ujhdani,0,0,0
Carlo,Vfqll,1,0,0
Pino,Bgmyszu,0,0,1
Pino,Iebbjwb,0,0,1
Carlo,Qpwjhvmg,1,0,0
Carlo,Jjuntbz,0,1,0
Carlo,Nhkzqcwth,0,0,0
Gianni,Jtkivfnpc,1,1,0
Gianni,Ttdxi,0,1,0
Carlo,Guykimqy,1,0,0
Gianni,Ogjmjaj,1,1,0
Gianni,Sooa,1,0,0
Carlo,Wkgqzoshr,0,0,0
Pino,Zjxpcztdt,0,0,1
Gianni,Ecictxcru,1,0,0
Pino,Fsmxvmdvzf,1,1,1
Gianni,Rdmg,1,0,0
Carlo,Sanlwdyolc,0,0,0
Pino,Vcfqnvs,0,0,1
Carlo,Asgyjgmxgj,0,0,0
Gianni,Pilsj,1,1,0
Pino,Dvypkst,1,0,1
Gianni,Ndsxxebwz,0,1,0
Pino,Byvvbapd,1,1,1
Carlo,Znvroyqae,1,0,0
Carlo,Ieqjmq,1,0,0
Carlo,Ilvdn,1,1,0
Gianni,Dvovrlbt,0,0,0
Carlo,Vddwm,0,1,0
Gianni,Eqmyefl,1,0,0
Carlo,Qjllk,0,1,0
Carlo,Nykbgmknwg,0,1,0
Gianni,Tahmefixz,1,0,0
Carlo,Yclonrb,0,1,0
Gianni,Cbuoqcyanh,1,0,0
Pino,Txuuhh,0,1,1
Carlo,Pqgreu,1,0,0
Gianni,Zymy,1,0,0
Gianni,Tyvpra,0,0,0
Gianni,Vzddwm,0,1,0
Pino,Srmrxjyt,1,1,1
Gianni,Igqowgt,1,0,0
Gianni,Fefjewnv,0,1,0
Gianni,Mbhf,0,0,0
Carlo,Awpzmocj,0,1,0
Gianni,Bxkamvyf,0,0,0
Pino,Upkaeldu,1,0,1
Carlo,Thxse,1,0,0
Pino,Aeroc,0,1,1
Gianni,Iptdsuyex,0,0,0
Pino,Obvtxozefl,0,0,1
Carlo,Wfctzovad,0,0,0
Carlo,Adsvdrels,1,1,0
Gianni,Yilf,0,0,0
Pino,Sxdmlttg,1,1,1
Gianni,Lznztmv,0,0,0
Carlo,Qkmioj,1,0,0
Pino,Ddrja,1,1,1
Pino,Plwrdqbxzl,0,0,1
Gianni,Gamyrh,0,1,0
Gianni,Kkdgl,1,0,0
Pino,Bgvfnlwiac,0,1,1
Pino,Usqr,0,0,1
Gianni,Hwlv,0,0,0
Gianni,Useppk,0,1,0
Gianni,Ydknpoy,1,0,0
Gianni,Kmydrkqyo,1,1,0
Gianni,Njshcvr,1,1,0
Pino,Musdhdc,1,0,1
Gianni,Kettqdqdnc,0,1,0
Gianni,Uxhyi,0,1,0
Pino,Ckxyjanb,1,0,1
Gianni,Rovw,1,0,0
Gianni,Pmjmh,1,1,0
Pino,Frpzadlf,0,0,1
Gianni,Ilvjtri,1,0,0
Carlo,Mxspletuuz,0,0,0
Carlo,Xhumel,1,0,0
Carlo,Bmetznek,0,1,0
Carlo,Icvsca,1,1,0
Gianni,Fcpmv,0,0,0
Carlo,Mvnqs,1,1,0
Gianni,Kncmamnvsp,1,0,0
Gianni,Vjri,0,1,0
Pino,Kbexfvpqg,0,0,1
Pino,Olvcco,0,1,1
Carlo,Aancmdqths,0,1,0
Carlo,Edxrljeyg,1,0,0
Carlo,Ilse,0,1,0
Gianni,Jqqylyjvk,0,0,0
Gianni,Ufigmsn,0,1,0
Carlo,Tysz,0,1,0
Carlo,Zgxmopew,0,1,0
Gianni,Pokq,0,1,0
Pino,Mpwhtwtcr,1,1,1
Gianni,Dmtqhqe,1,0,0
Gianni,Altzr,0,0,0
Carlo,Ybviwdral,0,0,0
Gianni,Qkqv,0,0,0
Gianni,Nkwhrzvtst,0,0,0
Pino,Siqpbjrb,0,1,1
Gianni,Olyp,0,0,0
Carlo,Lrhieka,1,0,0
Pino,Fvptanx,1,1,1
Pino,Jpqraliwkq,0,0,1
Pino,Qfxpgum,0,1,1
Carlo,Fdpviy,1,0,0
Carlo,Atanu,1,0,0
Carlo,Cwduax,1,0,0
Pino,Ismc,0,1,1
Gianni,Hqoqbaha,1,0,0
Pino,Ziwz,0,0,1
Pino,Fspjujy,0,0,1
Gianni,Pvxmd,1,0,0
Gianni,Awycdx,1,0,0
Gianni,Rftnebxmb,1,0,0
Gianni,Pffkhg,0,1,0
Carlo,Uuicr,1,1,0
Pino,Cmuld,1,1,1
Pino,Mfianekq,1,1,1
Carlo,Ituxrvq,1,1,0
Pino,Kcqp,1,0,1
Pino,Boygqwsci,0,0,1
Pino,Niimj,1,1,1
Pino,Jkrxtxcar,0,1,1
Gianni,Ojimn,1,0,0
Pino,Jqmpy,1,1,1
Carlo,Onauk,0,0,0
Gianni,Zpgnt,1,0,0
Gianni,Korwunbfba,0,1,0
Carlo,Ndzqjlvu,0,0,0
Pino,Ytaorlhfnh,1,0,1
Carlo,Dbjnmei,1,0,0
Carlo,Khrom,1,0,0
Pino,Ucqnae,1,0,1
Gianni,Utlnuehhp,1,0,0
Carlo,Swqjgylxph,1,1,0
Pino,Sgtsylrxc,0,1,1
Pino,Vtauefdkxt,1,1,1
Pino,Fwrky,0,0,1
Carlo,Wckat,0,1,0
Carlo,Yrntmtsrco,0,0,0
Gianni,Shavdj,1,1,0
Gianni,Cirjw,0,0,0
Gianni,Rapmssc,1,0,0
Gianni,Xhgwggril,1,1,0
Pino,Vhqgylxilr,0,0,1
Carlo,Csfyd,0,1,0
Gianni,Mtoqb,1,1,0
Pino,Zmlmajzzb,1,0,1
Carlo,Uazelbs,0,0,0
Carlo,Smgkin,0,1,0
Gianni,Vhkoi,0,0,0
Gianni,Kvuhqfqecd,0,0,0
Pino,Mabhth,1,0,1
Gianni,Zhvorqgs,0,1,0
Carlo,Orbq,0,0,0
Carlo,Taufghts,1,0,0
Pino,Lcgk,0,1,1
Pino,Nzfy,0,1,1
Gianni,Dcoslnxf,0,1,0
Carlo,Nqrutudflq,1,1,0
Gianni,Dsiv,1,0,0
Carlo,Abzrnit,0,0,0
Pino,Rgotwvc,0,1,1
Pino,Iwnuvp,1,0,1
Pino,Dwwkrbtlea,0,0,1
Pino,Dgsyda,1,1,1
Carlo,Rhwvbcbm,0,1,0
Carlo,Aeececyajj,0,0,0
Carlo,Vvym,0,1,0
Pino,Xhpgx,0,0,1
Carlo,Viah,0,0,0
Gianni,Uueqscubh,1,0,0
Gianni,Ardv,1,1,0
Pino,Tgopyku,0,1,1
Carlo,Ffjka,1,0,0
Carlo,Oybopk,1,0,0
Pino,Qbitgs,1,0,1
Gianni,Ughvfkawy,0,1,0
Pino,Uyvugg,1,1,1
Pino,Jymlnrip,1,1,1
Carlo,Djowzgaah,1,0,0
Carlo,Igjvz,0,0,0
Carlo,Qccovhhla,0,0,0
Carlo,Krlqll,1,1,0
Pino,Bsehui,0,0,1
Pino,Lhvvzwbtb,1,0,1
Pino,Dxnfb,1,1,1
Pino,Onibwqc,1,1,1
Pino,Okzoixdin,1,1,1
Carlo,Sjhaj,1,1,0
Gianni,Msowsv,1,1,0
Carlo,Hzfjdctoj,1,1,0
Pino,Tpdmrvxzv,1,1,1
