Name,Surname,HasA,HasB,Class
Pino,Wkooymtyg,0,0,1
Pino,Lyarznpo,0,0,1
Gianni,Ymro,0,0,0
Gianni,Vaeuttausr,0,0,0
Zenio,Obhuokz,0,0,1
Pino,Dyzvdx,0,0,1
Carlo,Mvonwj,0,0,0
Pino,Xqexhwdpja,0,0,1
Pino,Ffuo,0,0,1
Gianni,Hqjzupo,0,0,0
Gianni,Ezbaq,0,0,0
Zenio,Afaxzkhff,0,0,1
Zenio,Iwdgvp,0,0,1
Zenio,Svdtrfckpu,0,0,1
Pino,Pobsbpppmp,0,0,1
Pino,Nikcoop,0,0,1
Gianni,Vchnkdhuz,0,0,0
Carlo,Yaqe,0,0,0
Pino,Tvqngks,0,0,1
Pino,Biqbfutn,0,0,1
Gianni,Xuddcvtqpo,0,0,0
Zenio,Itkynszqj,0,0,1
Gianni,Ucntjrtkyw,0,0,0
Carlo,Ysfh,0,0,0
Zenio,Uhumkz,0,0,1
Zenio,Lvacr,0,0,1
Carlo,Uvrtsmyqtm,0,0,0
Carlo,Vloxtb,0,0,0
Zenio,Grnjfxoeqc,0,0,1
Carlo,Jejeiyejlx,0,0,0
Gianni,Tdozups,0,0,0
Carlo,Hxurjcev,0,0,0
Carlo,Thrb,0,0,0
Carlo,Unbmguuakk,0,0,0
Carlo,Abckoqzau,0,0,0
Pino,Mobxqfji,0,0,1
Gianni,Ibteiqbz,0,0,0
Gianni,Fzwydv,0,0,0
Zenio,Husykim,0,0,1
Zenio,Xtnflqmosg,0,0,1
Pino,Htpuab,0,0,1
Carlo,Xjyrn,0,0,0
Pino,Tzghqn,0,0,1
Pino,Kywjyctay,0,0,1
Zenio,Luiae,0,0,1
Pino,Kcvpf,0,0,1
Pino,Xkfgvcpexp,0,0,1
Zenio,Vibfimbix,0,0,1
Carlo,Wtbpkqpaw,0,0,0
Pino,Kqvti,0,0,1
Gianni,Xqdhaxry,0,0,0
Gianni,Yhdbclav,0,0,0
Gianni,Oohqexjzdt,0,0,0
Zenio,Epkk,0,0,1
Zenio,Bckx,0,0,1
Carlo,Ljxjbz,0,0,0
Carlo,Qkbqruky,0,0,0
Carlo,Kgtm,0,0,0
Gianni,Qszi,0,0,0
Carlo,Hxslr,0,0,0
Pino,Aacsb,0,0,1
Carlo,Zded,0,0,0
Pino,Ivypgxb,0,0,1
Pino,Fbdcot,0,0,1
Zenio,Vwyvml,0,0,1
Carlo,Njpexct,0,0,0
Zenio,Fuwfknsgbd,0,0,1
Zenio,Alizumx,0,0,1
Carlo,Llvspupr,0,0,0
Gianni,Exjglr,0,0,0
Gianni,Uzuytrimo,0,0,0
Gianni,Ltgnq,0,0,0
Gianni,Wtdt,0,0,0
Zenio,Emdezgom,0,0,1
Zenio,Paob,0,0,1
Gianni,Ukqxej,0,0,0
Gianni,Czjh,0,0,0
Pino,Drcogl,0,0,1
Gianni,Sxnivgy,0,0,0
Zenio,Uullg,0,0,1
Gianni,Uxogtuhcih,0,0,0
Carlo,Yjibfjpg,0,0,0
Gianni,Ekloo,0,0,0
Zenio,Ozsmt,0,0,1
Pino,Hdatoaet,0,0,1
Carlo,Ofahaxnrix,0,0,0
Carlo,Bgrjwbqrmi,0,0,0
Pino,Xchdyditj,0,0,1
Zenio,Gbfcva,0,0,1
Carlo,Gpij,0,0,0
Gianni,Vwqthqk,0,0,0
Carlo,Ffqicz,0,0,0
Gianni,Nbefbc,0,0,0
Pino,Ckmubw,0,0,1
Pino,Rzxqm,0,0,1
Gianni,Cbbht,0,0,0
Gianni,Xnzbuwq,0,0,0
Carlo,Duqmkuspj,0,0,0
Zenio,Mzynryar,0,0,1
Gianni,Ktdujafh,0,0,0
Carlo,Himuubn,0,0,0
Carlo,Rlzbscdf,0,0,0
Gianni,Yqovpfyc,0,0,0
Zenio,Yoxkfii,0,0,1
Zenio,Obkqwcz,0,0,1
Zenio,Jslblvr,0,0,1
Gianni,Bjvbtioza,0,0,0
Zenio,Xjsc,0,0,1
Pino,Sewnnhzmg,0,0,1
Zenio,Frzfzhmxak,0,0,1
Carlo,Ugru,0,0,0
Zenio,Tgqo,0,0,1
Zenio,Ayrnrm,0,0,1
Zenio,Fkogz,0,0,1
Carlo,Tleobndddd,0,0,0
Carlo,Ztlxgqu,0,0,0
Gianni,Rrykxfsde,0,0,0
Gianni,Totaht,0,0,0
Pino,Fjrkv,0,0,1
Zenio,Eszo,0,0,1
Zenio,Hmukqj,0,0,1
Carlo,Lpdml,0,0,0
Carlo,Xrvicoaadm,0,0,0
Zenio,Qwbo,0,0,1
Gianni,Hsrgjwrjwm,0,0,0
Pino,Gsybykjt,0,0,1
Zenio,Jiaqwjqvx,0,0,1
Zenio,Jbqimqf,0,0,1
Zenio,Dbqkxnth,0,0,1
Pino,Bzzwynrzzg,0,0,1
Gianni,Aecrhpz,0,0,0
Gianni,Gbct,0,0,0
Gianni,Sruxvtu,0,0,0
Pino,Uysgy,0,0,1
Zenio,Cjdmlakd,0,0,1
Gianni,Gwcd,0,0,0
Carlo,Qlmiqbffe,0,0,0
Pino,Pcksccbtl,0,0,1
Pino,Usqud,0,0,1
Pino,Ytetjzhfb,0,0,1
Carlo,Jqmtzqle,0,0,0
Gianni,Dgblwxa,0,0,0
Pino,Ravjt,0,0,1
Gianni,Jsvvk,0,0,0
Carlo,Zdmt,0,0,0
Zenio,Ggnmzbgr,0,0,1
Pino,Jkuspf,0,0,1
Gianni,Rtnqs,0,0,0
Zenio,Erhuqdwyzz,0,0,1
Zenio,Wjxszjuu,0,0,1
Gianni,Wgryycjvi,0,0,0
Carlo,Ksmclk,0,0,0
Carlo,Ayqejbq,0,0,0
Pino,Mhgyqm,0,0,1
Zenio,Wgaxecgg,0,0,1
Gianni,Etkipel,0,0,0
Gianni,Kjuo,0,0,0
Pino,Kqyhr,0,0,1
Pino,Rubcr,0,0,1
Zenio,Kwyfin,0,0,1
Carlo,Jfohpfaxz,0,0,0
Carlo,Zinx,0,0,0
Gianni,Rbsoihjnl,0,0,0
Zenio,Ulgsg,0,0,1
Pino,Mwsxyupbq,0,0,1
Pino,Ztkx,0,0,1
Pino,Neqyhng,0,0,1
Carlo,Bhjmpw,0,0,0
Zenio,Zajtiq,0,0,1
Pino,Iwrozsam,0,0,1
Carlo,Atuvlg,0,0,0
Pino,Zkyy,0,0,1
Carlo,Jcvouu,0,0,0
Pino,Rdtrnht,0,0,1
Pino,Crjjeyelyb,0,0,1
Pino,Ixpzdxcvnp,0,0,1
Gianni,Eolkzv,0,0,0
Gianni,Kojvxo,0,0,0
Pino,Kaad,0,0,1
Gianni,Jwalfq,0,0,0
Zenio,Dysgglmrc,0,0,1
Carlo,Rxdvte,0,0,0
Pino,Twdq,0,0,1
Gianni,Aypsekykl,0,0,0
Pino,Txmgp,0,0,1
Pino,Zoxavrn,0,0,1
Pino,Suei,0,0,1
Carlo,Smrcygsp,0,0,0
Carlo,Kfvxunran,0,0,0
Carlo,Iusbo,0,0,0
Pino,Sibwkya,0,0,1
Carlo,Kjetufdwot,0,0,0
Zenio,Mqysmywla,0,0,1
Carlo,Lrkq,0,0,0
Carlo,Mpyfrnyzot,0,0,0
Carlo,Dyazyb,0,0,0
Zenio,Rfkj,0,0,1
Pino,Tgokgyjxl,0,0,1
Carlo,Otonyrr,0,0,0
Carlo,Rsoumsthm,0,0,0
Zenio,Wigroz,0,0,1
Zenio,Bnlwztmo,0,0,1
Zenio,Zeadkece,0,0,1
Carlo,Wfaeayntn,0,0,0
Zenio,Olsrvnymtk,0,0,1
Pino,Tgkr,0,0,1
Zenio,Nereebcpf,0,0,1
Carlo,Rmyrjj,0,0,0
Carlo,Oqmkyayvg,0,0,0
Gianni,Zzsj,0,0,0
Gianni,Kcqc,0,0,0
Gianni,Uhbsrsfpj,0,0,0
Carlo,Vkuwal,0,0,0
Zenio,Xgca,0,0,1
Gianni,Manmmkw,0,0,0
Pino,Vdkwocysys,0,0,1
Pino,Bashdrlynx,0,0,1
Zenio,Cycbw,0,0,1
Gianni,Puxyfkguv,0,0,0
Gianni,Fglzbodjx,0,0,0
Zenio,Xqpioltb,0,0,1
Gianni,Pqvzk,0,0,0
Zenio,Lbejrvnkdz,0,0,1
Pino,Gcrftwyce,0,0,1
Gianni,Jxzkikxrw,0,0,0
Zenio,Vfozogngpm,0,0,1
Pino,Setbidny,0,0,1
Pino,Asgqp,0,0,1
Pino,Qegotywah,0,0,1
Pino,Xvrnj,0,0,1
Zenio,Vsipox,0,0,1
Carlo,Ezqite,0,0,0
Carlo,Gufgwbkqh,0,0,0
Pino,Xbhwkw,0,0,1
Gianni,Dzkqrc,0,0,0
Zenio,Ufsafpksi,0,0,1
Pino,Xbphfqzlmu,0,0,1
Gianni,Digzknpvrk,0,0,0
Carlo,Pkfpvrfnrg,0,0,0
Zenio,Jlbacuyi,0,0,1
Pino,Kcfddun,0,0,1
Carlo,Zdhcbb,0,0,0
Carlo,Kojxiy,0,0,0
Carlo,Uqmznc,0,0,0
Zenio,Ftvu,0,0,1
Carlo,Qyvn,0,0,0
Gianni,Vlakqxfl,0,0,0
Carlo,Fcdon,0,0,0
Zenio,Bfndetqhmy,0,0,1
Gianni,Kpswj,0,0,0
Carlo,Ivdbfvv,0,0,0
Zenio,Lspjpdciy,0,0,1
Zenio,Knlgnx,0,0,1
Carlo,Biwe,0,0,0
Gianni,Chzlqragon,0,0,0
Gianni,Qojgsqciqf,0,0,0
Zenio,Cujzg,0,0,1
Zenio,Qqeg,0,0,1
Carlo,Hhrgrkuw,0,0,0
Gianni,Bgbgczqmdt,0,0,0
Carlo,Stcwiwtyzr,0,0,0
Zenio,Yfbm,0,0,1
Pino,Hcpxxy,0,0,1
Pino,Gsnlnmz,0,0,1
Zenio,Jrwsvlurjy,0,0,1
Zenio,Odjc,0,0,1
Pino,Lgoctswhdv,0,0,1
Zenio,Ebmls,0,0,1
Carlo,Nssbm,0,0,0
Pino,Nrjph,0,0,1
Pino,Mlspmcfng,0,0,1
Carlo,Dnhsfsxrha,0,0,0
Pino,Arkwfsblwv,0,0,1
Pino,Dndpq,0,0,1
Zenio,Iuyi,0,0,1
Zenio,Rqgwdwiz,0,0,1
Gianni,Ohdjjob,0,0,0
Zenio,Tbaxkhzvs,0,0,1
Carlo,Lzyqrbcess,0,0,0
Carlo,Qhxpdotn,0,0,0
Pino,Erfexva,0,0,1
Zenio,Ltyd,0,0,1
Zenio,Oqbombtv,0,0,1
Carlo,Dkhddgsdrv,0,0,0
Pino,Hbgvb,0,0,1
Pino,Dcvpemx,0,0,1
Zenio,Tedln,0,0,1
Zenio,Jcqoxbfww,0,0,1
Pino,Rwjdwgflmc,0,0,1
Zenio,Jsrnayhp,0,0,1
Pino,Xsmrnfms,0,0,1
Carlo,Erbshzkjeu,0,0,0
Zenio,Fzefjimyb,0,0,1
Gianni,Vsidmiudr,0,0,0
Carlo,Lgwlndjhw,0,0,0
Zenio,Rhgdsd,0,0,1
Zenio,Drvqurinh,0,0,1
Carlo,Kbtufa,0,0,0
Pino,Asqwsddu,0,0,1
Gianni,Tyvhcjxur,0,0,0
Gianni,Tnkvm,0,0,0
Carlo,Cqihb,0,0,0
Pino,Xotyzpo,0,0,1
Zenio,Yvmewblp,0,0,1
Pino,Cmmnoo,0,0,1
Pino,Surnjf,0,0,1
Gianni,Phxe,0,0,0
Pino,Exqxqnhei,0,0,1
Zenio,Rhykmyxjx,0,0,1
Carlo,Elnolgt,0,0,0
Pino,Florfgoss,0,0,1
Gianni,Klvohsr,0,0,0
Pino,Awucyvzm,0,0,1
Zenio,Febzb,0,0,1
Pino,Xywwywac,0,0,1
Pino,Paqqpblvts,0,0,1
Carlo,Osjfzyqbsy,0,0,0
Pino,Efejxvp,0,0,1
Pino,Ofgpuiwl,0,0,1
Pino,Nxcvsxq,0,0,1
Zenio,Bsty,0,0,1
Pino,Twpoywsnor,0,0,1
Zenio,Ljgnssh,0,0,1
Gianni,Yzkhwhyige,0,0,0
Zenio,Tmgz,0,0,1
Pino,Ddrmfvezvz,0,0,1
Zenio,Tygudaf,0,0,1
Carlo,Eaquntw,0,0,0
Zenio,Mmnhubt,0,0,1
Pino,Przsdcfww,0,0,1
Gianni,Ubnhcrq,0,0,0
Zenio,Reoilnyc,0,0,1
Pino,Fjwkpjkkl,0,0,1
Carlo,Avepwknv,0,0,0
Carlo,Kcwahljdgr,0,0,0
Carlo,Xgoibhcu,0,0,0
Carlo,Lbbvps,0,0,0
Carlo,Sffldfv,0,0,0
Pino,Lorbkjatxg,0,0,1
Zenio,Tnkuqdlqxc,0,0,1
Pino,Hslkh,0,0,1
Carlo,Mees,0,0,0
Zenio,Eknbchaim,0,0,1
Gianni,Tinbl,0,0,0
Carlo,Eygdtymuc,0,0,0
Carlo,Sxqpile,0,0,0
Carlo,Ijaryg,0,0,0
Carlo,Njsr,0,0,0
Gianni,Vlwotsj,0,0,0
Gianni,Vliiwqsh,0,0,0
Gianni,Ytklwus,0,0,0
Gianni,Fhwjqbdkzk,0,0,0
Zenio,Oncyrg,0,0,1
Pino,Phbvswaukj,0,0,1
Carlo,Ujfngfphzw,0,0,0
Carlo,Uvlrfq,0,0,0
Zenio,Kuhvjeqj,0,0,1
Gianni,Mjrafxavl,0,0,0
Zenio,Zbxuxzob,0,0,1
Carlo,Szcqqqfuj,0,0,0
Pino,Lhdto,0,0,1
Gianni,Ofgqtumhzy,0,0,0
Pino,Josul,0,0,1
Carlo,Qtcy,0,0,0
Carlo,Cegnwbqg,0,0,0
Zenio,Ftadj,0,0,1
Gianni,Xdtehmw,0,0,0
Gianni,Qdvygrq,0,0,0
Gianni,Yqbjmz,0,0,0
Gianni,Ouogyttvjb,0,0,0
Pino,Ufybq,0,0,1
Pino,Ikcuiue,0,0,1
Pino,Uyud,0,0,1
Zenio,Pprkbc,0,0,1
Pino,Ecdfpcbuqf,0,0,1
Carlo,Zslg,0,0,0
Pino,Jxqban,0,0,1
Gianni,Zirhn,0,0,0
Carlo,Hgeygcv,0,0,0
Zenio,Iozguoss,0,0,1
Carlo,Wdpksmut,0,0,0
Carlo,Zlizn,0,0,0
Pino,Srtifqijqp,0,0,1
Gianni,Hlayu,0,0,0
Pino,Woso,0,0,1
Gianni,Vdqtqive,0,0,0
Carlo,Wjbmmhqhje,0,0,0
Gianni,Esdwfwikwt,0,0,0
Carlo,Eyijebvao,0,0,0
Pino,Vfbcutva,0,0,1
Pino,Dkkgxbxg,0,0,1
Zenio,Huqfhi,0,0,1
Zenio,Dpyisrbd,0,0,1
Zenio,Afrbbgprm,0,0,1
Gianni,Uxgkgom,0,0,0
Gianni,Xsce,0,0,0
Pino,Rcxi,0,0,1
Gianni,Gtvqcdhg,0,0,0
Carlo,Aouatjoxl,0,0,0
Pino,Jtbk,0,0,1
Gianni,Sejspkmsea,0,0,0
Pino,Fazvmjpkh,0,0,1
Pino,Webvxive,0,0,1
Gianni,Asgng,0,0,0
Pino,Ixnwarwbk,0,0,1
Gianni,Qvhya,0,0,0
Zenio,Ucovymaj,0,0,1
Pino,Vneuupghbt,0,0,1
Carlo,Gvncoyfvv,0,0,0
Zenio,Ywhzcpxxky,0,0,1
Zenio,Atdzbdgpi,0,0,1
Zenio,Yeyyoiio,0,0,1
Zenio,Nvvragqvg,0,0,1
Zenio,Yhppn,0,0,1
Carlo,Hvsdug,0,0,0
Carlo,Agsbwkrat,0,0,0
Zenio,Qcnoxmbikn,0,0,1
Carlo,Opusjvmppt,0,0,0
Zenio,Fqyrbas,0,0,1
Gianni,Svyvegvujw,0,0,0
Carlo,Wayvoogix,0,0,0
Carlo,Tyzlha,0,0,0
Zenio,Yzencfigj,0,0,1
Pino,Lqdfgc,0,0,1
Pino,Xxoltukq,0,0,1
Gianni,Csufgjrs,0,0,0
Zenio,Pawgog,0,0,1
Carlo,Blyfpin,0,0,0
Zenio,Ubbferz,0,0,1
Pino,Kadbpidys,0,0,1
Pino,Steocejgo,0,0,1
Pino,Dfvsdcj,0,0,1
Pino,Ebjcxn,0,0,1
Pino,Wtmmjdxwc,0,0,1
Pino,Ntmkfe,0,0,1
Carlo,Dscut,0,0,0
Pino,Ffxpw,0,0,1
Carlo,Yyevxyp,0,0,0
Zenio,Mwvbpidx,0,0,1
Pino,Ltdvbu,0,0,1
Gianni,Vnvrjfgh,0,0,0
Zenio,Uoukldvaig,0,0,1
Carlo,Wspolf,0,0,0
Pino,Cutw,0,0,1
Carlo,Ekloo,0,0,0
Pino,Uakmqlc,0,0,1
Carlo,Mbop,0,0,0
Pino,Xlqxbfnui,0,0,1
Carlo,Vkirl,0,0,0
Zenio,Frtgqnn,0,0,1
Gianni,Twxh,0,0,0
Gianni,Mavv,0,0,0
Carlo,Ckizal,0,0,0
Gianni,Iexxuy,0,0,0
Zenio,Akiwqcl,0,0,1
Zenio,Vqgsgmwqt,0,0,1
Gianni,Geguepbgmn,0,0,0
Gianni,Rodg,0,0,0
Zenio,Wtntsvh,0,0,1
Carlo,Vxzejwtiar,0,0,0
Gianni,Iclmaxe,0,0,0
Pino,Frquul,0,0,1
Gianni,Bswbjkddip,0,0,0
Carlo,Kcqahz,0,0,0
Gianni,Diwak,0,0,0
Pino,Ixhv,0,0,1
Zenio,Kgtymabpw,0,0,1
Gianni,Cmitiq,0,0,0
Gianni,Ltnioadi,0,0,0
Carlo,Nnnj,0,0,0
Carlo,Aowk,0,0,0
Gianni,Bmbnvi,0,0,0
Gianni,Ybfpnzxq,0,0,0
Carlo,Eogbwlfra,0,0,0
Carlo,Jatgvqzcpf,0,0,0
Carlo,Hityjezjbf,0,0,0
Zenio,Gmvkl,0,0,1
Gianni,Rawouuj,0,0,0
Carlo,Sujl,0,0,0
Gianni,Xkbg,0,0,0
Pino,Utuxjw,0,0,1
Pino,Dfrrisdqga,0,0,1
Pino,Ickpksctne,0,0,1
Carlo,Pvzntaypp,0,0,0
Gianni,Emachx,0,0,0
Gianni,Rojpk,0,0,0
Carlo,Dqbpbosytk,0,0,0
Pino,Agocahuusw,0,0,1
Gianni,Hjtcbnixqo,0,0,0
Carlo,Moyfway,0,0,0
Pino,Lcug,0,0,1
Pino,Ebpth,0,0,1
Zenio,Ibrm,0,0,1
Carlo,Knoeadxyl,0,0,0
Gianni,Jmsswzl,0,0,0
Zenio,Ixypmprcpj,0,0,1
Pino,Melvnj,0,0,1
Carlo,Hpoew,0,0,0
Gianni,Qttjo,0,0,0
Gianni,Apdifz,0,0,0
Pino,Fmvztog,0,0,1
Carlo,Znhlw,0,0,0
Zenio,Xfzhxuap,0,0,1
Pino,Vnxmmpzv,0,0,1
Zenio,Jcidd,0,0,1
Zenio,Nsfopo,0,0,1
Carlo,Huzsz,0,0,0
Gianni,Bhnhwih,0,0,0
Carlo,Ewruzxgt,0,0,0
Zenio,Ljxbtzw,0,0,1
Pino,Mbmbzyd,0,0,1
Carlo,Pnkz,0,0,0
